Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,likes_anomaly,shares_anomaly,comments_anomaly,any_anomaly,anomaly_count,view_like_anomaly,total_interactions,engagement_rate,share_rate,comment_rate,likes_per_share,likes_per_comment,comment_to_like_ratio,share_to_like_ratio,virality_score,engagement_density,Engagement_Level_Cal,KMeans_Cluster,DBSCAN_Cluster
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,0,0,0,0,0,0,411912,0.08152608464344,0.0127622064794588,0.0046466104554739,6.387966726889491,17.54437380472425,0.0569952155365434,0.1565409271960215,0.1140204132855686,0.0900280108126632,Medium,0,0
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,0,0,0,0,0,0,308339,0.0517909181097614,0.0158471932108757,0.0065542316409207,3.2680949271951536,7.901615271659325,0.1265511682253845,0.3059825962525727,0.093316651992894,0.0690680398783319,Medium,0,0
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,0,0,0,0,0,0,402789,0.0892318829353021,0.0107530606522481,0.0098802251479183,8.298067167207792,9.031111969964664,0.1107249406988971,0.1205065659159269,0.1255583419616759,0.0989896780535758,High,0,0
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,0,0,0,0,0,0,175618,0.1384876333403053,0.0127316025238792,0.0400957784285017,10.87654004106776,3.4538267177439077,0.2895237795572896,0.0919324135110048,0.2240945060308164,0.1605916041877558,High,0,0
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,0,0,0,0,0,0,270390,0.1029656979963991,0.0657156003436169,0.0356075665228885,1.566819958611175,2.89161892637386,0.3458171598805427,0.6382234027721726,0.2878082484679657,0.1696345444918178,High,0,0
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,0,0,0,0,0,0,214742,0.1341142221244384,0.156198484138296,0.0520507497999151,0.8586053442750118,2.576526080431253,0.3881029932716768,1.1646537172202278,0.5245873151009033,0.2550455773627483,High,1,0
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,0,0,0,0,0,0,396362,0.1536136228056976,0.0218792802896336,0.016274716518126,7.020807995931274,9.438508873628823,0.10594545563349,0.1424301502662966,0.221784258162154,0.1609103102895039,High,0,0
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,0,0,0,0,0,0,622293,0.2286575304075917,0.0442682357973454,0.0139081199378296,5.165219383186523,16.44003314001657,0.0608249895681937,0.1936002128693212,0.338056181909027,0.2228990019399559,High,1,0
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,0,0,0,0,0,0,120712,0.0022147632930046,0.0177966003870833,0.0109532537191683,0.1244468787385231,0.2021966698672162,4.944991314418066,8.034510712217719,0.0542378446459238,0.0300346147491873,Low,0,-1
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,0,0,0,0,0,0,451148,0.0933324128517249,0.0113042348132204,0.0062014582099302,8.256231934453307,15.049479063502751,0.0664446755024414,0.1211176772529251,0.1252430697930611,0.0997788334793032,High,0,0
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,0,0,0,0,0,0,543953,0.1015927879677342,0.0150649741477254,0.0019624177055915,6.743544091251231,51.763444444444445,0.0193164646083044,0.1482875124497716,0.1346663628215724,0.106041536783802,High,0,0
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,0,0,0,0,0,0,282276,0.0476318986606755,0.0091646832220558,0.0119564444331862,5.197193579249495,3.98370340191485,0.2510163069323638,0.1924054387122176,0.0838959317545666,0.0643301495216306,Medium,0,0
