Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,likes_anomaly,shares_anomaly,comments_anomaly,any_anomaly,anomaly_count,youtube_anomaly,tiktok_anomaly,instagram_anomaly,twitter_anomaly,platform_anomaly,view_like_anomaly,day_of_week,is_weekend,day_of_month,day_of_year,week_of_year,month,quarter,year,year_month,total_interactions,engagement_rate,like_rate,share_rate,comment_rate,likes_per_share,likes_per_comment,comment_to_like_ratio,share_to_like_ratio,virality_score,engagement_density,Engagement_Level_Cal
2022-01-13,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,0,0,0,0,0,False,False,False,False,0,0,3,0,13,13,2,1,1,2022,2022-01,411912,0.09893492534101411,0.08152608464344002,0.012762206479458816,0.0046466104554739865,6.387966726889491,17.54437380472425,0.0569952155365434,0.15654092719602158,0.11402041328556863,0.09002801081266326,Medium
2022-05-13,Instagram,#Education,Reel,India,4155940,215240,65860,27239,Medium,0,0,0,0,0,False,False,True,False,1,0,4,0,13,133,19,5,2,2022,2022-05,308339,0.07419236081367873,0.05179091810976142,0.015847193210875708,0.006554231640920793,3.2680949271951536,7.901615271659325,0.12655116822538456,0.3059825962525727,0.09331665199289403,0.06906803987833197,High
2022-01-07,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,0,0,0,0,0,False,False,False,False,0,0,4,0,7,7,1,1,1,2022,2022-01,402789,0.10986519870242056,0.08923188293530215,0.010753060652248151,0.009880225147918342,8.298067167207792,9.031111969964664,0.11072494069889713,0.12050656591592693,0.12555834196167598,0.09898967805357582,High
2022-12-05,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,0,0,0,0,0,False,False,False,False,0,0,0,0,5,339,49,12,4,2022,2022-12,175618,0.1913152227079659,0.13848763334030537,0.012731602523879244,0.040095778428501705,10.876540041067761,3.4538267177439073,0.28952377955728964,0.09193241351100483,0.22409450603081643,0.16059160418775587,High
2022-11-23,Instagram,#Challenge,Reel,Australia,1323566,136282,86979,47129,Low,0,0,0,0,0,False,False,True,False,1,0,2,0,23,327,47,11,4,2022,2022-11,270390,0.2042890192102245,0.10296569799639912,0.06571560034361691,0.035607566522888524,1.566819958611175,2.8916189263738596,0.3458171598805427,0.6382234027721726,0.2878082484679657,0.16963454449181783,High
2022-06-09,YouTube,#Comedy,Post,Japan,627233,84121,97973,32648,Medium,0,0,0,0,0,True,False,False,False,1,0,3,0,9,160,23,6,2,2022,2022-06,214742,0.342364001894033,0.1341142221244384,0.15619848413829607,0.05205074979991518,0.8586053442750118,2.5765260804312535,0.38810299327167685,1.1646537172202278,0.5245873151009033,0.2550455773627483,High
2022-01-14,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,0,0,0,0,0,False,False,False,False,0,0,4,0,14,14,2,1,1,2022,2022-01,396362,0.19176771239439427,0.15361362280569765,0.021879280289633637,0.01627471651812605,7.020807995931274,9.438508873628823,0.10594545563349007,0.14243015026629668,0.221784258162154,0.16091031028950395,High
2022-09-01,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,0,0,0,0,0,False,False,False,False,0,0,3,0,1,244,35,9,3,2022,2022-09,622293,0.2868340183533431,0.2286575304075917,0.04426823579734541,0.01390811993782968,5.165219383186523,16.44003314001657,0.06082498956819377,0.19360021286932122,0.33805618190902703,0.22289900193995593,High
2023-01-01,TikTok,#Gaming,Video,India,3898384,8634,69378,42700,Low,0,0,0,0,0,False,True,False,False,1,0,6,1,1,1,52,1,1,2023,2023-01,120712,0.03096462534219307,0.002214763293004667,0.017796600387083368,0.010953253719168322,0.12444687873852318,0.2021966698672162,4.944991314418066,8.034510712217719,0.05423784464592389,0.03003461474918738,Low
2023-08-09,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,0,0,0,0,0,False,False,False,False,0,0,2,0,9,221,32,8,3,2023,2023-08,451148,0.11083813310560416,0.0933324128517249,0.011304234813220442,0.006201458209930244,8.256231934453307,15.049479063502753,0.06644467550244146,0.12111767725292515,0.12524306979306116,0.09977883347930323,High
