iter	MultiClass
0	1.097466218
1	1.096156124
2	1.094466332
3	1.093581498
4	1.092664044
5	1.091822865
6	1.090761348
7	1.089414806
8	1.088265973
9	1.087583446
10	1.086375527
11	1.085459714
12	1.084682816
13	1.083538793
14	1.08299457
15	1.082237733
16	1.081194531
17	1.080728007
18	1.079967321
19	1.078746955
20	1.077865363
21	1.077186441
22	1.076157856
23	1.075189971
24	1.074683933
25	1.073773207
26	1.073260643
27	1.072119937
28	1.071029793
29	1.070086586
30	1.069106504
31	1.068173843
32	1.067279636
33	1.066071691
34	1.06537169
35	1.064309642
36	1.063668289
37	1.063206571
38	1.062111397
39	1.06133486
40	1.060584699
41	1.059508749
42	1.058384542
43	1.0577455
44	1.057067788
45	1.056569789
46	1.05560215
47	1.054880073
48	1.054169178
49	1.053642606
50	1.053030283
51	1.051726619
52	1.050952595
53	1.050056791
54	1.049474016
55	1.048468194
56	1.047736738
57	1.047057648
58	1.046316432
59	1.045553855
60	1.0446357
61	1.04417383
62	1.043483599
63	1.042734996
64	1.042101253
65	1.04150615
66	1.041086213
67	1.041071893
68	1.040618514
69	1.039757752
70	1.039357271
71	1.038622116
72	1.037764441
73	1.037024702
74	1.036412737
75	1.035627641
76	1.034889202
77	1.034330308
78	1.033926008
79	1.033314713
80	1.032498598
81	1.031595774
82	1.03092787
83	1.030575636
84	1.030007959
85	1.0291935
86	1.028578391
87	1.027832028
88	1.026926817
89	1.026185435
90	1.025070482
91	1.024757949
92	1.023916414
93	1.023259529
94	1.022642157
95	1.02190004
96	1.021291738
97	1.020603347
98	1.019874598
99	1.01935275
100	1.018960861
101	1.01797102
102	1.016990417
103	1.016556659
104	1.01577037
105	1.015024616
106	1.014665634
107	1.013762154
108	1.01311813
109	1.01253237
110	1.011723428
111	1.010930981
112	1.009878482
113	1.009164766
114	1.008297461
115	1.007671039
116	1.007140059
117	1.006452493
118	1.005669155
119	1.004903728
120	1.004169132
121	1.003359593
122	1.002654161
123	1.002195066
124	1.001644673
125	1.000934145
126	1.000300678
127	0.999749324
128	0.9993271065
129	0.9988092714
130	0.9980859205
131	0.9974905628
132	0.9967760898
133	0.9963004002
134	0.9956516671
135	0.9953493942
136	0.9947307267
137	0.9939935629
