iter	Passed	Remaining
0	51	20372
1	56	11169
2	70	9317
3	73	7283
4	98	7786
5	149	9841
6	152	8547
7	203	9979
8	254	11042
9	302	11805
10	304	10785
11	359	11638
12	416	12387
13	477	13167
14	532	13672
15	548	13167
16	601	13558
17	657	13963
18	712	14278
19	743	14120
20	796	14370
21	852	14645
22	903	14803
23	906	14208
24	910	13659
25	965	13881
26	1014	14013
27	1063	14135
28	1078	13795
29	1127	13901
30	1177	14019
31	1244	14312
32	1302	14486
33	1363	14680
34	1423	14844
35	1427	14435
36	1485	14575
37	1541	14681
38	1593	14746
39	1644	14797
40	1646	14419
41	1695	14450
42	1747	14506
43	1797	14545
44	1802	14223
45	1852	14254
46	1855	13938
47	1904	13968
48	1907	13662
49	1964	13752
50	2017	13808
51	2074	13884
52	2127	13931
53	2180	13968
54	2230	13991
55	2281	14017
56	2334	14046
57	2388	14081
58	2448	14149
59	2479	14048
60	2508	13940
61	2567	13995
62	2621	14021
63	2677	14055
64	2732	14083
65	2735	13845
66	2791	13872
67	2844	13888
68	2895	13890
69	2899	13667
70	2948	13662
71	2963	13499
72	3011	13490
73	3062	13492
74	3111	13484
75	3162	13481
76	3211	13470
77	3261	13462
78	3313	13462
79	3368	13472
80	3425	13489
81	3482	13506
82	3542	13528
83	3597	13531
84	3602	13351
85	3654	13343
86	3710	13348
87	3763	13344
88	3813	13326
89	3822	13165
90	3871	13147
91	3922	13131
92	3973	13115
93	4024	13100
94	4073	13076
95	4125	13063
96	4173	13038
97	4224	13016
98	4273	12994
99	4324	12972
100	4333	12829
101	4383	12808
102	4437	12796
103	4493	12788
104	4546	12773
105	4600	12759
106	4651	12737
107	4702	12715
108	4755	12696
109	4806	12672
110	4855	12642
111	4906	12615
112	4958	12593
113	5008	12564
114	5058	12535
115	5106	12501
116	5158	12476
117	5207	12446
118	5259	12418
119	5308	12386
120	5364	12368
121	5366	12227
122	5424	12217
123	5481	12201
124	5540	12188
125	5594	12165
126	5649	12144
127	5704	12121
128	5708	11992
129	5763	11970
130	5793	11896
131	5845	11868
132	5894	11833
133	5944	11801
134	5993	11764
135	6043	11731
136	6092	11695
137	6143	11663
138	6194	11630
139	6245	11598
140	6292	11559
141	6347	11532
142	6352	11416
143	6410	11395
144	6467	11374
145	6523	11348
146	6578	11322
147	6635	11297
148	6690	11270
149	6747	11246
150	6801	11215
151	6850	11177
152	6901	11140
153	6951	11103
154	7004	11071
155	7061	11044
156	7121	11022
157	7177	10992
158	7232	10962
159	7288	10932
160	7346	10906
161	7404	10878
162	7410	10774
163	7466	10744
164	7523	10715
165	7577	10681
166	7581	10578
167	7637	10547
168	7692	10514
169	7747	10481
170	7798	10443
171	7847	10402
172	7852	10303
173	7902	10264
174	7951	10223
175	8002	10184
176	8051	10144
177	8102	10105
178	8152	10065
179	8202	10024
180	8204	9927
181	8257	9890
182	8311	9856
183	8366	9821
184	8424	9790
185	8482	9758
186	8538	9725
187	8542	9632
188	8596	9597
189	8646	9556
190	8698	9518
191	8748	9477
192	8798	9436
193	8849	9396
194	8902	9358
195	8951	9316
196	9001	9276
197	9049	9232
198	9102	9194
199	9151	9151
200	9155	9064
201	9207	9025
202	9211	8939
203	9260	8897
204	9309	8855
205	9364	8819
206	9423	8785
207	9480	8751
208	9536	8715
209	9588	8675
210	9641	8636
211	9651	8558
212	9709	8524
213	9738	8464
214	9792	8425
215	9841	8383
216	9843	8301
217	9847	8220
218	9899	8181
219	9949	8140
220	10000	8100
221	10052	8059
222	10102	8018
223	10151	7975
224	10201	7934
225	10250	7891
226	10301	7851
227	10304	7773
228	10306	7696
229	10361	7658
230	10416	7621
231	10474	7585
232	10530	7547
233	10587	7510
234	10646	7475
235	10703	7437
236	10758	7399
237	10814	7361
238	10863	7318
239	10913	7275
240	10962	7232
241	11012	7190
242	11060	7146
243	11112	7104
244	11161	7061
245	11209	7017
246	11259	6974
247	11309	6931
248	11365	6892
249	11422	6853
250	11477	6813
251	11533	6773
252	11590	6734
253	11642	6692
254	11699	6652
255	11754	6611
256	11808	6570
257	11856	6525
258	11906	6481
259	11956	6438
260	12006	6394
261	12055	6349
262	12106	6306
263	12155	6261
264	12205	6218
265	12254	6173
266	12304	6129
267	12358	6086
268	12414	6045
269	12473	6005
270	12527	5963
271	12579	5919
272	12633	5877
273	12689	5835
274	12745	5793
275	12754	5730
276	12810	5688
277	12861	5644
278	12911	5599
279	12961	5555
280	13010	5509
281	13062	5465
282	13112	5421
283	13165	5377
284	13215	5332
285	13265	5287
286	13315	5242
287	13374	5201
288	13432	5159
289	13488	5116
290	13543	5072
291	13599	5030
292	13655	4986
293	13711	4943
294	13765	4899
295	13819	4855
296	13869	4809
297	13918	4763
298	13967	4718
299	14017	4672
300	14068	4627
301	14118	4581
302	14171	4536
303	14221	4490
304	14272	4445
305	14324	4400
306	14382	4356
307	14439	4313
308	14494	4268
309	14550	4224
310	14605	4179
311	14660	4135
312	14716	4090
313	14771	4045
314	14827	4001
315	14887	3957
316	14942	3912
317	14992	3866
318	15043	3819
319	15092	3773
320	15144	3727
321	15196	3681
322	15247	3634
323	15298	3588
324	15353	3543
325	15410	3498
326	15469	3453
327	15523	3407
328	15576	3361
329	15631	3315
330	15685	3269
331	15738	3223
332	15792	3177
333	15845	3131
334	15896	3084
335	15947	3037
336	15997	2990
337	16046	2943
338	16096	2896
339	16147	2849
340	16197	2802
341	16247	2755
342	16297	2708
343	16357	2662
344	16412	2616
345	16470	2570
346	16524	2523
347	16578	2477
348	16634	2430
349	16688	2384
350	16741	2337
351	16795	2290
352	16849	2243
353	16899	2196
354	16949	2148
355	16997	2100
356	17048	2053
357	17104	2006
358	17161	1959
359	17219	1913
360	17274	1866
361	17325	1818
362	17379	1771
363	17436	1724
364	17492	1677
365	17550	1630
366	17600	1582
367	17656	1535
368	17714	1488
369	17770	1440
370	17823	1393
371	17874	1345
372	17923	1297
373	17973	1249
374	18021	1201
375	18071	1153
376	18121	1105
377	18171	1057
378	18223	1009
379	18278	962
380	18333	914
381	18400	867
382	18460	819
383	18520	771
384	18582	723
385	18640	676
